type,name,calendar,category,sbj_list,cnbr_name
plan,AE,2018,1A,AE,100
,,,,AE,101
,,,,AE,104
,,,,AE,115
,,,,CHE,102
,,,,MATH,116
,,,1B,AE,105
,,,,AE,121
,,,,AE,125
,,,,GENE,123
,,,,MATH,118
,,,2A,AE,200
,,,,AE,204
,,,,AE,221
,,,,AE,224
,,,,AE,280
,,,2B,AE,205
,,,,AE,223
,,,,AE,225
,,,,AE,265
,,,,WKRPT,200
,,,3A,AE,279
,,,,AE,300
,,,,AE,303
,,,,AE,353
,,,,ARCH,277
,,,,WKRPT,300
,,,3B,AE,310
,,,,AE,325
,,,,AE,392
,,,,CIVE,507
,,,,WKRPT,400
,,,4A,AE,400
,,,,list,ae_lawEthics
,,,4B,AE,425
,,,CSE,list,eng_cseA
,,,,list,eng_cseC
,,,,list,eng_cseC
,,,TE,list,ae_teA
,,,,list,ae_teA
,,,,list,ae_teA
,,,,list,ae_teB
,,,,list,ae_teB
,,,,list,ae_teD
,,,,list,ae_teAll
,,,,list,ae_teAll
,,,WKTRM,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,PDENG,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,MLSTN,UENGLPROF,
,,,,WHMIS,
list,ae_lawEthics,2018,,AE,491
,,,,ENVE,391
list,ae_teA,2018,,AE,301
,,,,AE,315
,,,,AE,405
,,,,AE,450
,,,,AE,495
,,,,AE,572
,,,,AE,573
,,,,ARCH,570
,,,,ME,452
list,ae_teAll,2018,,list,ae_teA
,,,,list,ae_teB
,,,,list,ae_teC
,,,,list,ae_teD
list,ae_teB,2018,,ARCH,263
,,,,ARCH,463
,,,,ARCH,465
,,,,CIVE,343
,,,,CIVE,354
,,,,CIVE,413
,,,,CIVE,414
,,,,CIVE,415
,,,,CIVE,460
,,,,CIVE,495
,,,,CIVE,497
,,,,CIVE,512
,,,,CIVE,596
list,ae_teC,2018,,AE,497
,,,,CIVE,306
,,,,CIVE,422
,,,,CIVE,484
,,,,CIVE,497
,,,,CIVE,505
list,ae_teD,2018,,BIOL,130
,,,,BIOL,150
,,,,BIOL,240
,,,,BIOL,273
,,,,CHE,161
,,,,CHEM,209
,,,,CHEM,262
,,,,EARTH,221
,,,,EARTH,270
,,,,EARTH,281
,,,,ENVS,200
,,,,KIN,100
,,,,PHYS,124
,,,,PHYS,125
,,,,SCI,207
,,,,SCI,238
