type,name,calendar,category,sbj_list,cnbr_name
plan,ARCHPPENG,2017,1A,ARCH,100
,,,,ARCH,110
,,,,ARCH,125
,,,,ARCH,142
,,,,ARCH,172
,,,,ARCH,192
,,,1B,ARCH,113
,,,,ARCH,126
,,,,ARCH,143
,,,,ARCH,173
,,,,ARCH,193
,,,2A,ARCH,212
,,,,ARCH,246
,,,,ARCH,260
,,,,ARCH,263
,,,,ARCH,292
,,,2B,ARCH,225
,,,,ARCH,248
,,,,ARCH,264
,,,,ARCH,276
,,,,ARCH,293
,,,3A,ARCH,313
,,,,ARCH,342
,,,,ARCH,362
,,,,ARCH,392
,,,3B,ARCH,327
,,,,ARCH,393
,,,,ARCH,465
,,,4A,ARCH,428
,,,,ARCH,429
,,,,ARCH,446
,,,,ARCH,449
,,,,ARCH,492
,,,4B,ARCH,425
,,,,ARCH,442
,,,,ARCH,473
,,,,ARCH,493
,,,ELEC,list,arch_elec
,,,,list,arch_elec
,,,,list,arch_elec
,,,OPEN,list,uw_all
,,,,list,uw_all
,,,,list,uw_all
,,,PD,PDARCH,1
,,,,PDARCH,2
,,,,PDARCH,3
,,,,PDARCH,4
,,,,list,arch_pdopt
,,,WKRPT,WKRPT,103
,,,,WKRPT,203
,,,,WKRPT,303
list,arch_elec,2017,,ARCH,510
,,,,ARCH,520
,,,,ARCH,540
,,,,ARCH,570
list,arch_pdopt,2017,,PD,4
,,,,PD,5
,,,,PD,7
