type,name,calendar,category,sbj_list,cnbr_name
plan,BIOMEDE,2017,1A,BME,101
,,,,BME,101L
,,,,BME,121
,,,,BME,161
,,,,BME,181
,,,,SYDE,111
,,,,SYDE,113
,,,1B,BME,122
,,,,BME,162
,,,,BME,182
,,,,BME,186
,,,,SYDE,112
,,,,SYDE,114
,,,2A,BME,213
,,,,BME,261
,,,,BME,281
,,,,BME,281L
,,,,BME,285
,,,,BME,285L
,,,2B,BME,252
,,,,BME,282
,,,,BME,284
,,,,BME,284L
,,,,BME,294
,,,,BME,294L
,,,,SYDE,211
,,,,WKRPT,200
,,,3A,BME,353
,,,,BME,353L
,,,,BME,355
,,,,BME,361
,,,,BME,381
,,,3B,BME,362
,,,,BME,364
,,,,BME,384
,,,,BME,386
,,,,BME,392
,,,,BME,392L
,,,,WKRPT,300
,,,4A,BME,411
,,,,BME,461
,,,,WKRPT,400
,,,4B,BME,462
,,,CSE,list,eng_cseABCD
,,,,list,eng_cseABCD
,,,,list,eng_cseABCD
,,,TE,list,biomede_te
,,,,list,biomede_te
,,,,list,biomede_te
,,,,list,biomede_te
,,,,list,biomede_te
,,,,list,biomede_te
,,,WKTRM,COOP,1
,,,,COOP,2
,,,,COOP,3
,,,,COOP,4
,,,,COOP,5
,,,PDENG,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,MLSTN,UENGLPROF,
,,,,WHMIS,
list,biomede_neuro,2017,,AMATH,382
,,,,BIOL,376
,,,,BIOL,377
,,,,BIOL,382
,,,,KIN,155
,,,,KIN,301
,,,,KIN,416
,,,,KIN,456
,,,,OPTOM,243
,,,,PHIL,256
,,,,PHIL,446
,,,,PSYCH,207
,,,,PSYCH,256
,,,,PSYCH,261
,,,,PSYCH,307
,,,,PSYCH,396
,,,,PSYCH,446
,,,,SYDE,372
,,,,SYDE,522
,,,,SYDE,556
,,,,SYDE,558
list,biomede_sport,2017,,CIVE,422
,,,,KIN,340
,,,,KIN,341
,,,,ME,524
,,,,ME,533
,,,,ME,555
,,,,ME,564
,,,,ME,566
,,,,MSCI,423
,,,,SYDE,544
,,,,SYDE,553
,,,,SYDE,575
list,biomede_te,2017,,list,biomede_neuro
,,,,list,biomede_sport
