type,name,calendar,category,sbj_list,cnbr_name
plan,CHE,2023,1A,CHE,100
,,,,CHE,102
,,,,CHE,120
,,,,CHE,180
,,,,MATH,115
,,,,MATH,116
,,,1B,CHE,101
,,,,CHE,161
,,,,CHE,181
,,,,MATH,118
,,,,PHYS,115
,,,2A,CHE,200
,,,,CHE,220
,,,,CHE,230
,,,,CHE,290
,,,,CHEM,262
,,,,CHEM,262L
,,,,MATH,217
,,,2B,CHE,211
,,,,CHE,225
,,,,CHE,231
,,,,CHE,241
,,,,CHE,291
,,,,MATH,218
,,,3A,CHE,312
,,,,CHE,314
,,,,CHE,322
,,,,CHE,330
,,,,CHE,390
,,,,MSCI,261
,,,3B,CHE,313
,,,,CHE,331
,,,,CHE,341
,,,,CHE,361
,,,,CHE,383
,,,4A,CHE,480
,,,,CHE,482
,,,,CHE,490
,,,,CHE,450
,,,4B,CHE,483
,,,,CHE,491
,,,CSE,list,che_comm
,,,,list,eng_cseA
,,,,list,eng_cseC
,,,,list,eng_cseACD
,,,,list,eng_cseACD
,,,ETHICS,list,che_ethics
,,,TE,list,che_te_che
,,,,list,che_te_che
,,,,list,che_te_all
,,,,list,che_te_all
,,,WKTRM,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,PDENG,PD,19
,,,,PD,20
,,,,PD,11
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
list,che_comm,2023,,COMMST,100
,,,,COMMST,223
,,,,EMLS,101R
,,,,EMLS,102R
,,,,EMLS,129R
,,,,ENGL,109
,,,,ENGL,129R
list,che_ethics,2023,,ARBUS,202+
,,,,PD,22+
,,,,PHIL,215+
,,,,PHIL,219J+
,,,,PHIL,315+
list,che_te_all,2023,,CHE,499
,,,,list,che_te_che1
,,,,list,che_te_che2
,,,,list,che_te_che3
,,,,list,che_te_other1
,,,,list,che_te_other2
,,,,list,che_te_other3
list,che_te_che,2023,,list,che_te_che1
,,,,list,che_te_che2
,,,,list,che_te_che3
list,che_te_che1,2023,,CHE,500
,,,,CHE,514
,,,,CHE,516
,,,,CHE,520
,,,,CHE,565
,,,,CHE,571
,,,,CHE,572
,,,,CHE,574
list,che_te_che2,2023,,CHE,500
,,,,CHE,520
,,,,CHE,541
,,,,CHE,543
,,,,CHE,561
,,,,CHE,562
,,,,CHE,564
,,,,CHE,565
,,,,CHE,571
list,che_te_che3,2023,,CHE,500
,,,,CHE,520
,,,,CHE,521
,,,,CHE,522
,,,,CHE,524
,,,,CHE,565
list,che_te_other1,2023,,EARTH,458
,,,,EARTH,459
,,,,ENVE,376
,,,,ENVE,573
,,,,ENVE,577
,,,,ME,452
,,,,ME,459
,,,,ME,571
list,che_te_other2,2023,,ME,435
,,,,ME,531
,,,,ME,533
,,,,MSCI,432
,,,,MSCI,551
,,,,NE,352
,,,,NE,481
list,che_te_other3,2023,,EARTH,456
,,,,ME,362
,,,,ME,559
,,,,ME,566
,,,,MSCI,332
,,,,MSCI,431
,,,,MSCI,432
,,,,MSCI,551
,,,,NE,451
,,,,SYDE,531
