type,name,calendar,category,sbj_list,cnbr_name
plan,COMPE,2021,1A,ECE,105
,,,,ECE,150
,,,,ECE,190
,,,,ECE,198
,,,,list,ece_comm
,,,,MATH,115
,,,,MATH,117
,,,1B,ECE,106
,,,,ECE,108
,,,,ECE,124
,,,,ECE,140
,,,,ECE,192
,,,,MATH,119
,,,2A,ECE,109
,,,,ECE,204
,,,,ECE,205
,,,,ECE,222
,,,,ECE,240
,,,,ECE,250
,,,2B,ECE,203
,,,,ECE,207
,,,,ECE,208
,,,,ECE,224
,,,,ECE,252
,,,,ECE,298
,,,3A,ECE,318
,,,,ECE,327
,,,,ECE,350
,,,,ECE,380
,,,3B,ECE,307
,,,,list,compe_3b_te
,,,,list,compe_3b_te
,,,,list,ece_3b_te
,,,4A,ECE,498A
,,,4B,ECE,498B
,,,CSE,list,eng_cseC
,,,,list,eng_cseC
,,,,list,ece_cse
,,,NSE,list,ece_nse
,,,,list,ece_nse
,,,TE,list,ece_te4xx
,,,,list,ece_te4xx
,,,,list,ece_te4xx
,,,,list,ece_te_other
,,,,list,compe_te
,,,PDENG,PD,19
,,,,PD,20
,,,,PD,22
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,WTREF,ECE,101A
,,,,ECE,101B
,,,,ECE,101C
,,,,ECE,101D
,,,,ECE,101E
,,,MLSTN,WHMIS,
,,,,WKTRM1,
,,,,WKTRM2,
,,,,WKTRM3,
,,,,WKTRM4,
,,,,WKTRM5,
list,BIOL130:,2021,,BIOL,130
,,,,BIOL,130L
list,BIOL240:,2021,,BIOL,240
,,,,BIOL,240L
list,BIOL373:,2021,,BIOL,373
,,,,BIOL,373L
list,CHEM123:,2021,,CHEM,123
,,,,CHEM,123L
list,CHEM237:,2021,,CHEM,237
,,,,CHEM,237L
list,CHEM262:,2021,,CHEM,262
,,,,CHEM,262L
list,compe_3b_te,2021,,ECE,320
,,,,ECE,351
,,,,ECE,356
,,,,ECE,358
list,compe_te,2021,,ECE,260
,,,,ECE,340
,,,,ECE,375
,,,,list,ece_3b_te
,,,,list,ece_te4xx
,,,,list,ece_te_other
list,ece_3b_te,2021,,ECE,313
,,,,ECE,320
,,,,ECE,331
,,,,ECE,351
,,,,ECE,356
,,,,ECE,358
,,,,ECE,360
,,,,ECE,373
list,ece_comm,2021,,ARTS,190
,,,,ENGL,192
,,,,SPCOM,192
list,ece_cse,2021,,list,eng_cseA
,,,,list,eng_cseC
,,,,list,eng_cseD
list,ece_nse,2021,,BIOL,110
,,,,BIOL,150
,,,,BIOL,165
,,,,BIOL,211
,,,,BIOL,241
,,,,BIOL,273
,,,,CHE,161
,,,,CHEM,209
,,,,CHEM,254
,,,,CHEM,266
,,,,CHEM,356
,,,,CHEM,404
,,,,EARTH,121
,,,,EARTH,122
,,,,EARTH,123
,,,,EARTH,221
,,,,EARTH,270
,,,,EARTH,281
,,,,ECE,231
,,,,ECE,403
,,,,ECE,404
,,,,ECE,405
,,,,ENVE,275
,,,,ENVS,200
,,,,NE,222
,,,,PHYS,234
,,,,PHYS,263
,,,,PHYS,275
,,,,PHYS,280
,,,,PHYS,334
,,,,PHYS,335
,,,,PHYS,375
,,,,PHYS,380
,,,,SCI,238
,,,,list,BIOL130:
,,,,list,BIOL240:
,,,,list,BIOL373:
,,,,list,CHEM123:
,,,,list,CHEM237:
,,,,list,CHEM262:
,,,,list,ece_nse_retro
list,ece_nse_retro,2021,,PHYS,467
list,ece_te4A,2021,,ECE,414
,,,,ECE,417
,,,,ECE,433
,,,,ECE,444
,,,,ECE,445
,,,,ECE,452
,,,,ECE,454
,,,,ECE,455
,,,,ECE,457A
,,,,ECE,457C
,,,,ECE,458
,,,,ECE,462
,,,,ECE,463
,,,,ECE,475
,,,,ECE,481
,,,,ECE,486
,,,,ECE,493
list,ece_te4B,2021,,ECE,406
,,,,ECE,409
,,,,ECE,416
,,,,ECE,423
,,,,ECE,432
,,,,ECE,451
,,,,ECE,453
,,,,ECE,457B
,,,,ECE,459
,,,,ECE,464
,,,,ECE,467
,,,,ECE,474
,,,,ECE,477
,,,,ECE,488
,,,,ECE,493
,,,,ECE,495
list,ece_te4xx,2021,,ECE,499
,,,,list,ece_te4A
,,,,list,ece_te4B
list,ece_te_other,2021,,ME,499
,,,,MSCI,331
,,,,MSCI,432
,,,,MSCI,452
,,,,SYDE,372
,,,,SYDE,542
