type,name,calendar,category,sbj_list,cnbr_name
plan,GEOE,2017,1A,CHE,102
,,,,ENVE,100
,,,,CIVE,104
,,,,CIVE,115
,,,,MATH,116
,,,1B,CIVE,105
,,,,CIVE,121
,,,,GEOE,153
,,,,GENE,123
,,,,MATH,118
,,,2A,ENVE,223
,,,,EARTH,238
,,,,ENVE,280
,,,,ENVE,224
,,,2B,CIVE,204
,,,,CIVE,221
,,,,EARTH,231
,,,,EARTH,235
,,,,EARTH,260
,,,3A,CIVE,353
,,,,CIVE,392
,,,,EARTH,232
,,,,EARTH,458
,,,3B,EARTH,333
,,,,EARTH,390
,,,,EARTH,437
,,,,EARTH,438
,,,,CIVE,382
,,,4A,CIVE,354
,,,,GEOE,400
,,,4B,CIVE,554
,,,,GEOE,401
,,,,GENE,411
,,,CSE,list,eng_cseC
,,,,list,eng_cseC
,,,,list,eng_cseACD
,,,,list,eng_cseACD
,,,NSE,list,ece_nse1
,,,,list,ece_nse1_2
,,,TE,list,compe_te
,,,,list,compe_te
,,,,list,compe_te
,,,,list,compe_te
,,,,list,compe_te
,,,WKTRM,COOP,1
,,,,COOP,2
,,,,COOP,3
,,,,COOP,4
,,,,COOP,5
,,,PDENG,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,WKRPT,WKRPT,200
,,,,WKRPT,300
,,,,WKRPT,400
,,,MLSTN,ELPE,
,,,,WHMIS,
,,,,TPM,
,,,PRACTICE,GEOE,298
,,,,GEOE,299
,,,,GEOE,398
,,,,GEOE,399
,,,,GEOE,498
,,,,GEOE,499
list,BIOL130:,2017,,BIOL,130
,,,,BIOL,130L
list,BIOL240:,2017,,BIOL,240
,,,,BIOL,240L
list,BIOL273:,2017,,BIOL,273
,,,,BIOL,273L
list,CHEM123:,2017,,CHEM,123
,,,,CHEM,123L
list,CHEM237:,2017,,CHEM,237
,,,,CHEM,237L
list,CHEM262:,2017,,CHEM,262
,,,,CHEM,262L
list,compe_3b_te1,2017,,ECE,320
,,,,ECE,350
,,,,ECE,356
list,compe_3b_te2,2017,,ECE,318
,,,,ECE,358
list,compe_te,2017,,ECE,260
,,,,ECE,331
,,,,ECE,340
,,,,ECE,360
,,,,ECE,373
,,,,ECE,375
,,,,list,compe_3b_te1
,,,,list,compe_3b_te2
,,,,list,ece_te4xx
,,,,list,ece_te_retro
list,ece_nse1,2017,,ECE,403
,,,,ECE,404
,,,,ECE,405
,,,,ENVS,200
,,,,NE,122
,,,,list,BIOL130:
,,,,list,BIOL240:
,,,,list,BIOL273:
,,,,list,CHEM123:
,,,,list,CHEM237:
,,,,list,CHEM262:
,,,,list,ece_nse1_retro
list,ece_nse1_2,2017,,list,ece_nse1
,,,,list,ece_nse2
list,ece_nse1_retro,2017,,BIOL,110
,,,,BIOL,211
,,,,BIOL,241
,,,,CHE,161
,,,,CHEM,209
,,,,CHEM,217
,,,,CHEM,254
,,,,CHEM,356
,,,,EARTH,123
,,,,ECE,403
,,,,ECE,404
,,,,ECE,405
,,,,PHYS,234
,,,,PHYS,467
list,ece_nse2,2017,,BIOL,110
,,,,BIOL,130
,,,,BIOL,150
,,,,BIOL,165
,,,,BIOL,211
,,,,BIOL,240
,,,,BIOL,241
,,,,BIOL,273
,,,,CHE,161
,,,,CHEM,123
,,,,CHEM,209
,,,,CHEM,217
,,,,CHEM,237
,,,,CHEM,254
,,,,CHEM,262
,,,,CHEM,266
,,,,CHEM,356
,,,,CHEM,404
,,,,EARTH,121
,,,,EARTH,122
,,,,EARTH,123
,,,,EARTH,221
,,,,EARTH,270
,,,,EARTH,281
,,,,ECE,209
,,,,ENVE,275
,,,,ENVE,276
,,,,PHYS,234
,,,,PHYS,263
,,,,PHYS,275
,,,,PHYS,280
,,,,PHYS,334
,,,,PHYS,335
,,,,PHYS,375
,,,,PHYS,380
,,,,SCI,238
list,ece_te4A,2017,,ECE,413
,,,,ECE,414
,,,,ECE,418
,,,,ECE,432
,,,,ECE,445
,,,,ECE,452
,,,,ECE,454
,,,,ECE,455
,,,,ECE,457A
,,,,ECE,458
,,,,ECE,462
,,,,ECE,463
,,,,ECE,475
,,,,ECE,481
,,,,ECE,486
,,,,ECE,493
list,ece_te4B,2017,,ECE,406
,,,,ECE,409
,,,,ECE,415
,,,,ECE,416
,,,,ECE,417
,,,,ECE,423
,,,,ECE,433
,,,,ECE,444
,,,,ECE,451
,,,,ECE,453
,,,,ECE,457B
,,,,ECE,459
,,,,ECE,464
,,,,ECE,467
,,,,ECE,474
,,,,ECE,477
,,,,ECE,488
,,,,ECE,493
,,,,ECE,495
list,ece_te4xx,2017,,ECE,499
,,,,list,ece_te4A
,,,,list,ece_te4B
list,ece_te_retro,2017,,ECE,451
,,,,ECE,452
,,,,ECE,453
,,,,ME,499
,,,,MSCI,331
,,,,MSCI,432
,,,,MSCI,452
,,,,SYDE,372
,,,,SYDE,542
