type,name,calendar,category,sbj_list,cnbr_name
plan,ME,2022,1A,CHE,102
,,,,MATH,115
,,,,MATH,116
,,,,ME,100
,,,,PHYS,115
,,,1B,MATH,118
,,,,ME,101
,,,,ME,115
,,,,ME,123
,,,2A,ME,201
,,,,ME,202
,,,,ME,219
,,,,ME,230
,,,,ME,269
,,,2B,ME,203
,,,,ME,212
,,,,ME,220
,,,,ME,250
,,,,ME,262
,,,3A,ME,303
,,,,ME,321
,,,,ME,340
,,,,ME,351
,,,,ME,354
,,,3B,ME,322
,,,,ME,353
,,,,ME,360
,,,,ME,362
,,,,ME,380
,,,,MSCI,261
,,,4A,ME,481
,,,4B,ME,482
,,,CSE,list,eng_cseA
,,,,list,eng_cseC
,,,,list,eng_cseC
,,,,list,eng_cseACD
,,,TE,list,me_te
,,,,list,me_te
,,,,list,me_te
,,,,list,me_te
,,,,list,me_te_extended
,,,,list,me_te_extended
,,,,list,me_te_extended
,,,WKTRM,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,PD,PD,19
,,,,PD,20
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,WKRPT,WKRPT,100
,,,,WKRPT,200
,,,,WKRPT,300
list,me_te,2022,,list,me_teAuto
,,,,list,me_teFluid
,,,,list,me_teMachine
,,,,list,me_teMaterial
,,,,list,me_teThermal
list,me_teAuto,2022,,ME,435
,,,,ME,538
,,,,ME,540
,,,,ME,547
,,,,ME,548
,,,,ME,555
,,,,ME,559
,,,,ME,561
,,,,ME,597
list,me_teFluid,2022,,ME,562
,,,,ME,563
,,,,ME,564
,,,,ME,566
,,,,ME,567
,,,,ME,571
,,,,ME,595
list,me_teMachine,2022,,ME,423
,,,,ME,435
,,,,ME,524
,,,,ME,526
,,,,ME,538
,,,,ME,555
,,,,ME,559
,,,,ME,574
,,,,ME,598
list,me_teMaterial,2022,,ME,435
,,,,ME,436
,,,,ME,526
,,,,ME,531
,,,,ME,533
,,,,ME,535
,,,,ME,538
,,,,ME,596
list,me_teThermal,2022,,ME,452
,,,,ME,456
,,,,ME,459
,,,,ME,473
,,,,ME,557
,,,,ME,559
,,,,ME,567
,,,,ME,571
,,,,ME,572
,,,,ME,599
list,me_te_extended,2022,,BME,4*
,,,,BME,5*
,,,,ECE,4*
,,,,MSCI,4*
,,,,MSCI,5*
,,,,MTE,4*
,,,,MTE,5*
,,,,SYDE,4*
,,,,SYDE,5*
,,,,list,me_te
