type,name,calendar,category,sbj_list,cnbr_name
plan,MGTE,2021,1A,CHE,102
,,,,MSCI,100
,,,,MATH,115
,,,,MATH,116
,,,,PHYS,115
,,,1B,GENE,123
,,,,MSCI,121
,,,,MSCI,131
,,,,MATH,118
,,,,PHYS,125
,,,,list,mgte_engComm
,,,2A,MSCI,240
,,,,MSCI,251
,,,,MSCI,261
,,,,MSCI,271
,,,2B,MSCI,245
,,,,MSCI,253
,,,,MSCI,263
,,,,MSCI,331
,,,3A,MSCI,211
,,,,MSCI,334
,,,,MSCI,342
,,,,MSCI,431
,,,,MSCI,391
,,,3B,MSCI,302
,,,,MSCI,332
,,,,MSCI,333
,,,,MSCI,343
,,,,MSCI,392
,,,4A,MSCI,401
,,,,MSCI,434
,,,,MSCI,436
,,,,MSCI,491
,,,4B,MSCI,311
,,,,MSCI,402
,,,CSE,list,eng_cseA
,,,NSE,list,mgte_nse
,,,,list,mgte_nse
,,,TE,list,mgte_teList
,,,,list,mgte_teList
,,,,list,mgte_teList
,,,,list,mgte_teList
,,,,list,mgte_teList
,,,,list,mgte_teList
,,,WKTRM,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,PD,PD,11
,,,,PD,19
,,,,PD,20
,,,,PD,22
,,,,list,eng_pdOpt
,,,MLSTN,WHMIS,
list,mgte_engComm,2021,,ARTS,190
,,,,ENGL,192
,,,,SPCOM,192
list,mgte_nse,2021,,BIOL,110
,,,,BIOL,120
,,,,BIOL,130
,,,,BIOL,150
,,,,BIOL,165
,,,,BIOL,211
,,,,BIOL,239
,,,,BIOL,240
,,,,BIOL,273
,,,,CHE,161
,,,,CHEM,262
,,,,EARTH,121
,,,,EARTH,122
,,,,EARTH,123
,,,,EARTH,221
,,,,ENVS,200
,,,,PHYS,124
,,,,PHYS,175
,,,,PHYS,233
,,,,PHYS,275
,,,,PSYCH,261
,,,,SCI,238
,,,,SCI,250
list,mgte_teList,2021,,MSCI,433
,,,,MSCI,435
,,,,MSCI,446
,,,,MSCI,452
,,,,MSCI,531
,,,,MSCI,541
,,,,MSCI,543
,,,,MSCI,546
,,,,MSCI,551
,,,,MSCI,555
,,,,MSCI,598
,,,,list,mgte_teOther
list,mgte_teOther,2021,,CHE,524
,,,,CO,487
,,,,CS,445
,,,,ECE,252
,,,,ECE,406
,,,,ECE,451
,,,,ECE,452
,,,,ECE,454
,,,,ECE,457A
,,,,ECE,457C
,,,,ECE,459
,,,,GENE,21U
,,,,SE,463
,,,,STAT,341
,,,,STAT,435
,,,,STAT,440
,,,,STAT,444
,,,,SYDE,352
,,,,SYDE,542
,,,,SYDE,543
,,,,SYDE,552
,,,,SYDE,572
