type,name,calendar,category,sbj_list,cnbr_name
plan,AIENGOPT,2020,Core,list,aiengopt_alg
,,,,MSCI,442
,,,,list,aiengopt_ml
,,,,list,aiengopt_ctrl
,,,Elec,list,aiengopt_elecEng
,,,,list,aiengopt_elecMath
,,,,list,aiengopt_elecAll
list,aiengopt_alg,2020,,ECE,457A
,,,,MSCI,435
list,aiengopt_ctrl,2020,,BME,356
,,,,CHE,420
,,,,ECE,380
,,,,MTE,360
,,,,SE,380
,,,,SYDE,352
list,aiengopt_elecAll,2020,,list,aiengopt_elecEng
,,,,list,aiengopt_elecMath
list,aiengopt_elecEng,2020,,CHE,522
,,,,CHE,524
,,,,ECE,423
,,,,ECE,455
,,,,ECE,481
,,,,ECE,486
,,,,ECE,488
,,,,MSCI,446
,,,,MTE,544
,,,,SYDE,522
,,,,SYDE,556
,,,,SYDE,572
list,aiengopt_elecMath,2020,,CO,456
,,,,CO,463
,,,,CO,466
,,,,CS,480
,,,,CS,484
,,,,CS,485
,,,,STAT,341
,,,,STAT,440
,,,,STAT,441
,,,,STAT,444
list,aiengopt_ml,2020,,CS,480
,,,,ECE,457B
,,,,MSCI,446
