type,name,calendar,category,sbj_list,cnbr_name
plan,COGSCOPT,2012,REQD,list,cogsc_256
,,,,list,cogsc_rq2
,,,,list,cogsc_rq3
,,,,list,cogsc_rq4
,,,OPTN,PHIL/PSYCH,447
,,,,list,cogsc_opt
,,,,list,cogsc_opt
,,,,list,cogsc_opt
list,cogsc_256,2012,,PHIL,256
,,,,PSYCH,256
list,cogsc_opt,2012,,ANTH,260
,,,,ANTH,403
,,,,COGSCI,600
,,,,CS,349
,,,,CS,484
,,,,CS,485
,,,,ECE,457B
,,,,ECE,486
,,,,ENGL,309A
,,,,KIN,356
,,,,PHIL,255
,,,,PHIL,363
,,,,PSYCH,101
,,,,PSYCH,304
,,,,PSYCH,306
,,,,PSYCH,307
,,,,PSYCH,314
,,,,PSYCH,320
,,,,PSYCH,353
,,,,SYDE,348
,,,,SYDE,372
,,,,SYDE,543
,,,,SYDE,558
list,cogsc_rq2,2012,,PSYCH,207
,,,,PSYCH,261
list,cogsc_rq3,2012,,ENGL,306A
,,,,FR,303
list,cogsc_rq4,2012,,CS,486
,,,,ECE,457A
,,,,SYDE,422
,,,,SYDE,556
