type,name,calendar,category,sbj_list,cnbr_name
plan,COMPUOPT,2023,Core,list,compu_prog
,,,,list,compu_dsalg
,,,Topics,list,compu_topic
,,,,list,compu_topic
,,,Extended,list,compu_all
,,,,list,compu_all
list,ECE204:,2023,,ECE,204A
,,,,ECE,204B
list,compu_all,2023,,list,compu_dsalg
,,,,list,compu_prog
,,,,list,compu_topic
list,compu_db,2023,,CS,338
,,,,ECE,356
,,,,MSCI,245
list,compu_dsalg,2023,,BME,122
,,,,CS,231
,,,,CS,234
,,,,ECE,250
,,,,ECE,406
,,,,MSCI,240
,,,,MTE,140
,,,,SYDE,223
,,,,list,cs136:
,,,,list,cs146:
list,compu_hci,2023,,MSCI,343
,,,,MSCI,541
,,,,MSCI,543
,,,,SYDE,542
,,,,SYDE,543
,,,,SYDE,548
list,compu_hw,2023,,BME,393
,,,,CS,230
,,,,ECE,124
,,,,ECE,222
,,,,ECE,224
,,,,ECE,320
,,,,ECE,327
,,,,ECE,423
,,,,ME,262
,,,,MTE,262
,,,,MTE,325
,,,,SYDE,192
list,compu_logic,2023,,CS,245
,,,,ECE,208
,,,,SE,212
list,compu_net,2023,,ECE,358
list,compu_num,2023,,BME,411
,,,,CHE,322
,,,,CIVE,422
,,,,EARTH,456
,,,,ECE,204
,,,,ENVE,225
,,,,ME,559
,,,,ME,566
,,,,MTE,204
,,,,NE,336
,,,,SYDE,411
,,,,list,ECE204:
list,compu_os,2023,,ECE,350
,,,,MTE,241
,,,,SE,350
list,compu_pami,2023,,ECE,417
,,,,ECE,457A
,,,,ECE,457B
,,,,ECE,457C
,,,,MSCI,436
,,,,MSCI,546
,,,,MSCi,446
,,,,SYDE,522
,,,,SYDE,552
,,,,SYDE,556
,,,,SYDE,572
,,,,SYDE,575
list,compu_prog,2023,,AE,121
,,,,BME,121
,,,,CHE,120
,,,,CIVE,121
,,,,CS,115
,,,,CS,116
,,,,CS,135
,,,,CS,145
,,,,ECE,150
,,,,ENVE,121
,,,,GEOE,121
,,,,ME,101
,,,,MSCI,121
,,,,MTE,121
,,,,NE,111
,,,,SYDE,121
list,compu_se,2023,,CS,445
,,,,CS,446
,,,,CS,447
,,,,ECE,451
,,,,ECE,452
,,,,ECE,453
,,,,MSCI,342
,,,,SE,463
,,,,SE,464
,,,,SE,465
list,compu_sec,2023,,ECE,409
,,,,ECE,458
list,compu_sys,2023,,ECE,252
,,,,ECE,351
,,,,ECE,454
,,,,ECE,455
,,,,ECE,459
list,compu_topic,2023,,list,compu_db
,,,,list,compu_hci
,,,,list,compu_hw
,,,,list,compu_logic
,,,,list,compu_net
,,,,list,compu_num
,,,,list,compu_os
,,,,list,compu_pami
,,,,list,compu_se
,,,,list,compu_sec
,,,,list,compu_sys
list,cs136:,2023,,CS,136
,,,,CS,136L
list,cs146:,2023,,CS,146
,,,,CS,146L
