type,name,calendar,category,sbj_list,cnbr_name
plan,MATHOPT,2017,REQD,MATH,211
,,,,MATH,212
,,,,ECE,316
,,,,MATH,235
,,,,list,math_pmath
,,,,list,math_analysis
,,,OPTN,list,math_opt
,,,,list,math_opt
list,math_analysis,2017,,AMATH,331
,,,,AMATH,332
,,,,PMATH,331
,,,,PMATH,332
list,math_opt,2017,,AMATH,331
,,,,AMATH,332
,,,,AMATH,351
,,,,AMATH,353
,,,,AMATH,361
,,,,AMATH,451
,,,,AMATH,453
,,,,AMATH,456
,,,,CO,250
,,,,CO,342
,,,,CO,367
,,,,MATH,239
,,,,PMATH,331
,,,,PMATH,332
,,,,PMATH,334
,,,,PMATH,336
,,,,PMATH,340
,,,,PMATH,360
,,,,PMATH,365
list,math_pmath,2017,,PMATH,334
,,,,PMATH,336
