type,name,calendar,category,sbj_list,cnbr_name
plan,MECTROPT,2020,Level1,list,mectropt_elec
,,,,list,mectropt_prog
,,,,list,mectropt_micro
,,,,list,mectropt_math
,,,,list,mectropt_ctrl
,,,,list,mectropt_stat
,,,,list,mectropt_therm
,,,Level2,list,mectropt_circ
,,,,ME,321
,,,,list,mectropt_microif
,,,,list,mectropt_power
,,,Level3,list,mectropt_actsens
,,,,list,mectropt_compsys
,,,,list,mectropt_ctrlsys
,,,,list,mectropt_robauto
,,,,list,mectropt_mechsys
,,,Project,list,mectropt_proj1
,,,,list,mectropt_proj2
list,mectropt_actsens,2020,,ECE,463
,,,,ME,561
list,mectropt_circ,2020,,ECE,240
,,,,SYDE,292
list,mectropt_compsys,2020,,ECE,250
,,,,ECE,254
,,,,ECE,356
,,,,ECE,454
,,,,ECE,455
,,,,ECE,458
,,,,ECE,459
,,,,MTE,140
,,,,SYDE,322
,,,,SYDE,572
,,,,SYDE,575
list,mectropt_ctrl,2020,,ECE,380
,,,,ME,360
,,,,SYDE,352
list,mectropt_ctrlsys,2020,,ECE,481
,,,,ECE,484
,,,,MTE,460
list,mectropt_elec,2020,,ECE,106
,,,,ECE,140
,,,,GENE,123
,,,,ME,123
,,,,SYDE,283
list,mectropt_math,2020,,ECE,205
,,,,MATH,211
,,,,MATH,215
,,,,ME,303
,,,,SYDE,411
list,mectropt_mechsys,2020,,ME,322
,,,,ME,524
,,,,SYDE,553
list,mectropt_micro,2020,,ECE,222
,,,,ME,262
,,,,SYDE,192
list,mectropt_microif,2020,,ECE,224
,,,,MTE,325
list,mectropt_power,2020,,ECE,361
,,,,ME,269
list,mectropt_prog,2020,,ECE,150
,,,,ME,101
,,,,SYDE,121
list,mectropt_proj1,2020,,ECE,498A
,,,,ME,481
,,,,SYDE,461
list,mectropt_proj2,2020,,ECE,498B
,,,,ME,482
,,,,SYDE,462
list,mectropt_robauto,2020,,ECE,457A
,,,,ECE,457B
,,,,ECE,486
,,,,ME,547
,,,,SYDE,522
list,mectropt_stat,2020,,ECE,316
,,,,ME,202
,,,,SYDE,212
list,mectropt_therm,2020,,ECE,403
,,,,ME,250
,,,,PHYS,358
,,,,SYDE,381
