type,name,calendar,category,sbj_list,cnbr_name
plan,MSCIOPT,2020,Reqd,list,msci_orgzn
,,,,list,msci_econ
,,,,list,msci_co
,,,Optn,list,msci_opt
,,,,list,msci_opt
,,,,list,msci_opt
list,msci_co,2020,,BME,411
,,,,CIVE,332
,,,,CO,250
,,,,ENVE,335
,,,,MSCI,331
,,,,SYDE,411
list,msci_econ,2020,,AE,392
,,,,BME,364
,,,,CIVE,392
,,,,ENVE,392
,,,,GEOE,392
,,,,MSCI,261
,,,,SYDE,262
list,msci_opt,2020,,BET,450
,,,,CIVE,596
,,,,CS,480
,,,,ECE,457B
,,,,ECON,371
,,,,HRM,200
,,,,MSCI,211
,,,,MSCI,263
,,,,MSCI,311
,,,,MSCI,332
,,,,MSCI,411
,,,,MSCI,421
,,,,MSCI,422
,,,,MSCI,423
,,,,MSCI,431
,,,,MSCI,432
,,,,MSCI,435
,,,,MSCI,442
,,,,MSCI,444
,,,,MSCI,445
,,,,MSCI,446
,,,,MSCI,452
,,,,MSCI,454
,,,,MSCI,531
,,,,MSCI,541
,,,,MSCI,551
,,,,MSCI,555
,,,,MSCI,597
,,,,MSCI,598
,,,,MSCI,599
,,,,SYDE,522
,,,,SYDE,533
list,msci_orgzn,2020,,MSCI,211
,,,,MSCI,311
,,,,PSYCH,238
