type,name,calendar,category,sbj_list,cnbr_name
plan,SWENGOPT,2024,Required,list,sweng_srs
,,,,list,sweng_des
,,,,list,sweng_tst
,,,Topics,list,cecsse_list1
,,,,list,cecsse_list2
,,,,list,cecsse_list3
,,,,list,cecsse_list3
,,,Impact,list,cecsse_list4
list,cecsse_list1,2024,,AE,121
,,,,BME,121
,,,,CHE,120
,,,,CIVE,121
,,,,CS,115
,,,,CS,116
,,,,CS,135
,,,,CS,137
,,,,CS,145
,,,,ECE,150
,,,,ENVE,121
,,,,GEOE,121
,,,,ME,101
,,,,NE,111
,,,,SYDE,121
list,cecsse_list2,2024,,BME,122
,,,,CS,136
,,,,CS,138
,,,,CS,146
,,,,CS,231
,,,,ECE,250
,,,,SYDE,223
list,cecsse_list3,2024,,BIOL,487
,,,,BME,393
,,,,BME,411
,,,,CHE,322
,,,,CIVE,422
,,,,CS,230
,,,,CS,234
,,,,CS,245
,,,,CS,338
,,,,CS,445
,,,,CS,446
,,,,CS,447
,,,,EARTH,456
,,,,ECE,124
,,,,ECE,204
,,,,ECE,204A
,,,,ECE,204B
,,,,ECE,208
,,,,ECE,222
,,,,ECE,224
,,,,ECE,252
,,,,ECE,320
,,,,ECE,327
,,,,ECE,350
,,,,ECE,351
,,,,ECE,356
,,,,ECE,358
,,,,ECE,406
,,,,ECE,409
,,,,ECE,417
,,,,ECE,423
,,,,ECE,451
,,,,ECE,452
,,,,ECE,453
,,,,ECE,454
,,,,ECE,455
,,,,ECE,457A
,,,,ECE,457B
,,,,ECE,457C
,,,,ECE,458
,,,,ECE,459
,,,,ENVE,225
,,,,ME,262
,,,,ME,559
,,,,ME,566
,,,,MSCI,245
,,,,MSCI,342
,,,,MSCI,343
,,,,MSCI,436
,,,,MSCI,446
,,,,MSCI,541
,,,,MSCI,543
,,,,MSCI,546
,,,,MTE,204
,,,,MTE,241
,,,,MTE,262
,,,,MTE,325
,,,,MTE,544
,,,,MTE,546
,,,,NE,336
,,,,SE,212
,,,,SE,350
,,,,SE,463
,,,,SE,464
,,,,SE,465
,,,,SYDE,192
,,,,SYDE,411
,,,,SYDE,522
,,,,SYDE,542
,,,,SYDE,543
,,,,SYDE,548
,,,,SYDE,552
,,,,SYDE,556
,,,,SYDE,572
,,,,SYDE,575
list,cecsse_list4,2024,,CS,492
,,,,HIST,212
,,,,SOC,324
,,,,STV,205
,,,,STV,208
,,,,STV,210
,,,,STV,302
list,sweng_des,2024,,CS,446
,,,,ECE,452
,,,,SE,464
list,sweng_srs,2024,,CS,445
,,,,ECE,451
,,,,SE,463
list,sweng_tst,2024,,CS,447
,,,,ECE,453
,,,,SE,465
