type,name,calendar,category,sbj_list,cnbr_name
plan,BUSOPT,2011,InfoSys,list,bus_info
,,,,list,bus_info
,,,Comm,list,bus_comm
,,,,list,bus_comm
,,,Business,list,bus_bus
,,,,list,bus_bus
,,,,list,bus_bus
,,,,list,bus_bus
,,,,list,bus_bus
,,,,list,bus_bus
list,bus_bus,2011,,ACTSC,231
,,,,ACTSC,371
,,,,ACTSC,372
,,,,AFM,101
,,,,AFM,102
,,,,AFM,123
,,,,AFM,131
,,,,ARBUS,101
,,,,ARBUS,102
,,,,ARBUS,201
,,,,ARBUS,302
,,,,BUS,111W
,,,,BUS,121W
,,,,BUS,362W
,,,,BUS,481W
,,,,BUS,491W
,,,,COMM,400
,,,,ECON,101
,,,,ECON,102
,,,,ECON,220
,,,,ECON,344
,,,,HRM,200
,,,,MSCI,211
,,,,MSCI,311
,,,,MSCI,452
,,,,MTHEL,400
,,,,PSYCH,338
list,bus_comm,2011,,CS,492
,,,,ENGL,109
,,,,ENGL,119
,,,,ENGL,209
,,,,ENGL,210*
,,,,list,bus_spcom
list,bus_info,2011,,CS,348
,,,,CS,454
,,,,CS,490
list,bus_spcom,2011,,SPCOM,100
,,,,SPCOM,223
,,,,SPCOM,225
,,,,SPCOM,324
,,,,SPCOM,325
