type,name,calendar,category,sbj_list,cnbr_name
plan,COGSCMIN,2017,REQD,list,cogsc_256
,,,,list,cogsc_rq2
,,,,list,cogsc_rq3
,,,,list,cogsc_rq4
,,,OPTN,PHIL/PSYCH,447
,,,,list,cogsc_opt
,,,,list,cogsc_opt
,,,,list,cogsc_opt
,,,,list,cogsc_opt
list,cogsc_256,2017,,PHIL,256
,,,,PSYCH,256
list,cogsc_opt,2017,,ANTH,204
,,,,ANTH,403
,,,,BIOL,377
,,,,CS,349
,,,,CS,449
,,,,CS,484
,,,,CS,485
,,,,ECE,457B
,,,,ECE,486
,,,,ENGL,309A
,,,,ENGL,392B
,,,,ENGL,409A
,,,,INTEG,220
,,,,INTEG,251
,,,,KIN,354
,,,,KIN,356
,,,,MSCI,343
,,,,MSCI,452
,,,,PHIL,255
,,,,PHIL,363
,,,,PSYCH,101
,,,,PSYCH,306
,,,,PSYCH,307
,,,,PSYCH,314
,,,,PSYCH,320
,,,,PSYCH,335
,,,,PSYCH,353
,,,,SYDE,348
,,,,SYDE,372
,,,,SYDE,533
,,,,SYDE,543
list,cogsc_rq2,2017,,PSYCH,207
,,,,PSYCH,261
list,cogsc_rq3,2017,,ENGL,306A
,,,,FR,303
list,cogsc_rq4,2017,,COGSCI,300
,,,,CS,486
,,,,ECE,457A
,,,,PSYCH,420
,,,,SYDE,522
,,,,SYDE,552
,,,,SYDE,556
