type,name,calendar,category,sbj_list,cnbr_name
plan,COMPENGOPT,2023,Core,list,compeng_core
,,,,list,compeng_core
,,,Topics,list,compeng_topic
,,,,list,compeng_topic
,,,,list,compeng_topic
,,,,list,compeng_topic
,,,,list,compeng_topic
,,,Impact,list,compeng_cseA
list,ECE204:,2023,,ECE,204A
,,,,ECE,204B
list,compeng_core,2023,,ECE,320
,,,,ECE,327
,,,,ECE,423
,,,,ECE,455
list,compeng_cseA,2023,,MSCI,442
,,,,STV,205
,,,,STV,208
,,,,STV,210
,,,,STV,302
list,compeng_topic,2023,,list,compu_db
,,,,list,compu_hci
,,,,list,compu_hw
,,,,list,compu_logic
,,,,list,compu_net
,,,,list,compu_num
,,,,list,compu_os
,,,,list,compu_pami
,,,,list,compu_se
,,,,list,compu_sec
,,,,list,compu_sys
list,compu_db,2023,,CS,338
,,,,ECE,356
,,,,MSCI,245
list,compu_hci,2023,,MSCI,343
,,,,MSCI,541
,,,,MSCI,543
,,,,SYDE,542
,,,,SYDE,543
,,,,SYDE,548
list,compu_hw,2023,,BME,393
,,,,CS,230
,,,,ECE,124
,,,,ECE,222
,,,,ECE,224
,,,,ECE,320
,,,,ECE,327
,,,,ECE,423
,,,,ME,262
,,,,MTE,262
,,,,MTE,325
,,,,SYDE,192
list,compu_logic,2023,,CS,245
,,,,ECE,208
,,,,SE,212
list,compu_net,2023,,ECE,358
list,compu_num,2023,,BME,411
,,,,CHE,322
,,,,CIVE,422
,,,,EARTH,456
,,,,ECE,204
,,,,ENVE,225
,,,,ME,559
,,,,ME,566
,,,,MTE,204
,,,,NE,336
,,,,SYDE,411
,,,,list,ECE204:
list,compu_os,2023,,ECE,350
,,,,MTE,241
,,,,SE,350
list,compu_pami,2023,,ECE,417
,,,,ECE,457A
,,,,ECE,457B
,,,,ECE,457C
,,,,MSCI,436
,,,,MSCI,546
,,,,MSCi,446
,,,,SYDE,522
,,,,SYDE,552
,,,,SYDE,556
,,,,SYDE,572
,,,,SYDE,575
list,compu_se,2023,,CS,445
,,,,CS,446
,,,,CS,447
,,,,ECE,451
,,,,ECE,452
,,,,ECE,453
,,,,MSCI,342
,,,,SE,463
,,,,SE,464
,,,,SE,465
list,compu_sec,2023,,ECE,409
,,,,ECE,458
list,compu_sys,2023,,ECE,252
,,,,ECE,351
,,,,ECE,454
,,,,ECE,455
,,,,ECE,459
