type,name,calendar,category,sbj_list,cnbr_name
plan,ENVE,2017,1A,CHE,102
,,,,ENVE,100
,,,,CIVE,104
,,,,CIVE,115
,,,,MATH,116
,,,1B,CIVE,105
,,,,CIVE,121
,,,,ENVE,153
,,,,GENE,123
,,,,MATH,118
,,,2A,ENVE,223
,,,,ENVE,224
,,,,ENVE,275
,,,,ENVE,280
,,,,ERS,215
,,,2B,BIOL,240
,,,,CIVE,382
,,,,ENVE,225
,,,,ENVE,277
,,,,ENVE,279
,,,,WKRPT,200
,,,3A,CIVE,353
,,,,CIVE,392
,,,,EARTH,458
,,,,EARTH,458L
,,,,ENVE,330
,,,,ENVE,375
,,,,WKRPT,300
,,,3B,ENVE,335
,,,,ENVE,376
,,,,ENVE,383
,,,,ENVE,391
,,,4A,ENVE,400
,,,,WKRPT,400
,,,4B,ENVE,401
,,,CSE,list,eng_cseC
,,,,list,eng_cseC
,,,,list,eng_cseACD
,,,TE,list,enve_teA
,,,,list,enve_teA
,,,,list,enve_teA
,,,,list,enve_teA
,,,,list,enve_teAB
,,,,list,enve_teAB
,,,,list,enve_teAB
,,,WKTRM,COOP,1
,,,,COOP,2
,,,,COOP,3
,,,,COOP,4
,,,,COOP,5
,,,PD,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,MLSTN,UENGLPROF,
,,,,WHMIS,
list,enve_teA,2017,,CHE,361
,,,,CHE,420
,,,,CHE,472
,,,,CHE,516
,,,,CHE,571
,,,,CHE,572
,,,,CHE,574
,,,,CIVE,241
,,,,CIVE,341
,,,,CIVE,354
,,,,CIVE,440
,,,,CIVE,554
,,,,CIVE,583
,,,,ENVE,577
,,,,ME,571
,,,,SYDE,332
,,,,SYDE,533
list,enve_teAB,2017,,list,enve_teA
,,,,list,enve_teB
list,enve_teB,2017,,BIOL,354
,,,,BIOL,364
,,,,BIOL,447
,,,,BIOL,455
,,,,BIOL,462
,,,,BIOL,470
,,,,BIOL,488
,,,,CHE,514
,,,,CHEM,237
,,,,CHEM,262
,,,,CIVE,422
,,,,CIVE,497
,,,,EARTH,221
,,,,EARTH,342
,,,,EARTH,359
,,,,EARTH,421
,,,,EARTH,440
,,,,EARTH,444
,,,,EARTH,456
,,,,EARTH,459
,,,,ENVE,573
,,,,GEOG,459
,,,,GEOG,471
,,,,ME,459
,,,,ME,559
,,,,SYDE,411
,,,,SYDE,531
,,,,SYDE,575
