type,name,calendar,category,sbj_list,cnbr_name
plan,MECTR,2023,1A,CHE,102
,,,,MATH,115
,,,,MATH,116
,,,,MTE,100
,,,,MTE,121
,,,1B,MATH,118
,,,,MTE,111
,,,,MTE,119
,,,,MTE,120
,,,,MTE,140
,,,2A,MTE,201
,,,,MTE,202
,,,,MTE,219
,,,,MTE,262
,,,,SYDE,182
,,,2B,MTE,203
,,,,MTE,204
,,,,MTE,220
,,,,MTE,241
,,,,SYDE,252
,,,3A,MTE,309
,,,,MTE,320
,,,,MTE,321
,,,,MTE,325
,,,,SYDE,351
,,,3B,ME,351
,,,,MTE,322
,,,,MTE,360
,,,,MTE,380
,,,,MSCI,261
,,,4A,ECE,484
,,,,MTE,481
,,,4B,MTE,482
,,,CSE,list,eng_cseA
,,,,list,eng_cseC
,,,,list,eng_cseACD
,,,,list,eng_cseACD
,,,ETHICS,list,mectr_ethics
,,,TE,list,mectr_te
,,,,list,mectr_te
,,,,list,mectr_te
,,,,list,mectr_te_extended
,,,,list,mectr_te_extended
,,,PDENG,PD,19
,,,,PD,20
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,WKRPT,WKRPT,100
,,,,WKRPT,200
,,,,WKRPT,300
,,,WKTRM,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
list,mectr_ethics,2023,,PD,22+
,,,,PHIL,315+
list,mectr_te,2023,,BME,4*
,,,,BME,5*
,,,,ECE,313
,,,,ECE,320
,,,,ECE,327
,,,,ECE,350
,,,,ECE,351
,,,,ECE,356
,,,,ECE,358
,,,,ECE,373
,,,,ECE,4*
,,,,ME,362
,,,,ME,4*
,,,,ME,5*
,,,,MTE,4*
,,,,MTE,5*
,,,,SYDE,322
,,,,SYDE,4*
,,,,SYDE,5*
list,mectr_te_extended,2023,,CS,338
,,,,CS,343
,,,,CS,436
,,,,CS,454
,,,,CS,456
,,,,CS,458
,,,,CS,476
,,,,CS,485
,,,,CS,486
,,,,MSCI,423
,,,,MSCI,431
,,,,MSCI,432
,,,,MSCI,444
,,,,MSCI,446
,,,,MSCI,452
,,,,list,mectr_te
