type,name,calendar,category,sbj_list,cnbr_name
plan,NE,2018,1A,MATH,117
,,,,NE,100
,,,,NE,109
,,,,NE,111
,,,,NE,112
,,,,NE,121
,,,1B,MATH,119
,,,,NE,102
,,,,NE,113
,,,,NE,125
,,,,NE,131
,,,,NE,140
,,,2A,NE,201
,,,,NE,215
,,,,NE,216
,,,,NE,220L
,,,,NE,222
,,,,NE,232
,,,,NE,241
,,,2B,NE,202
,,,,NE,217
,,,,NE,224
,,,,NE,225
,,,,NE,226
,,,,NE,226L
,,,,NE,242
,,,,NE,250
,,,3A,MSCI,261
,,,,NE,301
,,,,NE,318
,,,,NE,320L
,,,,NE,333
,,,,NE,334
,,,,NE,343
,,,3B,NE,302
,,,,NE,307
,,,,NE,330L
,,,,NE,336
,,,,NE,340L
,,,,NE,350
,,,4A,NE,408
,,,,list,ne_lab4A
,,,,list,ne_lab4A
,,,4B,NE,409
,,,,NE,450
,,,,list,ne_lab4B
,,,,list,ne_lab4B
,,,CSE,list,eng_cseC
,,,,list,eng_cseC
,,,,list,eng_cseABCD
,,,,list,eng_cseABCD
,,,TE,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,,list,ne_te
,,,WKTRM,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,,list,eng_wktrm
,,,PD,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,MLSTN,UENGLPROF,
,,,,WHMIS,
list,ne_lab4A,2018,,NE,454A
,,,,NE,454B
,,,,NE,454C
,,,,NE,454D
list,ne_lab4B,2018,,NE,455A
,,,,NE,455B
,,,,NE,455C
,,,,NE,455D
list,ne_te,2018,,NE,335
,,,,NE,344
,,,,NE,345
,,,,NE,352
,,,,NE,353
,,,,NE,381
,,,,NE,451
,,,,NE,452
,,,,NE,453
,,,,NE,459
,,,,NE,461
,,,,NE,469
,,,,NE,471
,,,,NE,479
,,,,NE,481
,,,,NE,489
,,,,NE,491
,,,,NE,499
