type,name,calendar,category,sbj_list,cnbr_name
plan,STATOPT,2022,REQD,list,stat_stat
,,,,list,stat_applied
,,,,list,stat_exprmnt
,,,,STAT,435
,,,ELEC,list,stat_elec
,,,,list,stat_elec
,,,,list,stat_elec
list,stat_applied,2022,,STAT,331
,,,,SYDE,334
list,stat_elec,2022,,CHE,225
,,,,CHE,341
,,,,CHE,522
,,,,CHE,524
,,,,CIVE,343
,,,,CIVE,375
,,,,CIVE,440
,,,,ENVE,573
,,,,ME,340
,,,,MSCI,431
,,,,MSCI,432
,,,,MSCI,452
,,,,STAT,230
,,,,STAT,333
,,,,STAT,430
,,,,STAT,431
,,,,STAT,433
,,,,STAT,443
,,,,SYDE,533
,,,,SYDE,572
list,stat_exprmnt,2022,,MSCI,253
,,,,STAT,332
list,stat_stat,2022,,CHE,220
,,,,CIVE,224
,,,,ENVE,224
,,,,ME,202
,,,,MSCI,251
,,,,MTE,201
,,,,NE,215
,,,,STAT,231
,,,,SYDE,212
