type,name,calendar,category,sbj_list,cnbr_name
plan,SYDE,2017,1A,SYDE,101
,,,,SYDE,101L
,,,,SYDE,111
,,,,SYDE,113
,,,,SYDE,121
,,,,SYDE,161
,,,,SYDE,181
,,,1B,SYDE,112
,,,,SYDE,114
,,,,SYDE,162
,,,,SYDE,182
,,,,SYDE,192
,,,,SYDE,192L
,,,2A,SYDE,211
,,,,SYDE,223
,,,,SYDE,261
,,,,SYDE,283
,,,,SYDE,285
,,,2B,SYDE,212
,,,,SYDE,252
,,,,SYDE,262
,,,,SYDE,286
,,,,SYDE,292
,,,,SYDE,292L
,,,,WKRPT,200
,,,3A,SYDE,311
,,,,SYDE,351
,,,,SYDE,361
,,,,SYDE,381
,,,,SYDE,383
,,,,WKRPT,300
,,,3B,SYDE,312
,,,,SYDE,352
,,,,SYDE,352L
,,,,SYDE,362
,,,4A,SYDE,411
,,,,SYDE,461
,,,,WKRPT,400
,,,4B,SYDE,462
,,,CSE,list,eng_cseABCD
,,,,list,eng_cseABCD
,,,,list,eng_cseABCD
,,,,list,eng_cseABCD
,,,TE,list,syde_te
,,,,list,syde_te
,,,,list,syde_te
,,,,list,syde_te
,,,,list,syde_te
,,,,list,syde_te
,,,WKTRM,COOP,1
,,,,COOP,2
,,,,COOP,3
,,,,COOP,4
,,,,COOP,5
,,,PDENG,PD,20
,,,,PD,21
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,,list,eng_pdOpt
,,,MLSTN,UENGLPROF,
,,,,WHMIS,
list,syde_te,2017,,list,syde_teHuman
,,,,list,syde_teIntel
,,,,list,syde_teModel
,,,,list,syde_teSocEnv
list,syde_teHuman,2017,,SYDE,348
,,,,SYDE,372
,,,,SYDE,384
,,,,SYDE,542
,,,,SYDE,543
,,,,SYDE,544
,,,,SYDE,575
list,syde_teIntel,2017,,SYDE,322
,,,,SYDE,348
,,,,SYDE,372
,,,,SYDE,522
,,,,SYDE,531
,,,,SYDE,543
,,,,SYDE,544
,,,,SYDE,552
,,,,SYDE,556
,,,,SYDE,575
list,syde_teModel,2017,,SYDE,332
,,,,SYDE,372
,,,,SYDE,384
,,,,SYDE,552
,,,,SYDE,553
,,,,SYDE,556
,,,,SYDE,575
list,syde_teSocEnv,2017,,SYDE,332
,,,,SYDE,334
,,,,SYDE,372
,,,,SYDE,522
,,,,SYDE,531
,,,,SYDE,533
,,,,SYDE,575
,,,,SYDE,631
,,,,SYDE,632
